NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
90,340,1,32,4,1,2,4,2,5,4,4,2,4,1,1,4,4,4,2,1,1,1,1,3,5,3,4,5,3,5,3,5,3,5,4,3,5,2,4,8,9,4,3,3,16,16,15,15,-1,1,0,0
91,232,1,24,4,3,2,3,2,4,5,5,4,5,3,3,3,3,3,3,3,1,2,1,2,3,2,3,3,4,3,4,4,3,5,3,3,5,3,5,12,10,9,6,4,15,12,16,12,2,3,3,4
92,264,2,24,4,2,3,4,3,5,4,4,2,4,2,2,3,2,2,3,3,2,2,2,4,3,4,2,3,4,3,4,4,3,4,3,3,4,3,4,10,11,8,8,6,16,12,16,11,-1,0,4,5
93,149,2,21,3,2,3,2,4,2,3,3,2,3,2,2,3,3,3,2,2,2,2,2,4,3,4,3,4,4,4,4,5,4,4,3,3,4,3,4,15,15,6,6,6,17,14,16,13,0,0,3,3
94,193,1,NA,4,2,4,3,3,2,4,2,2,2,5,3,3,3,2,3,2,2,2,2,3,3,2,2,4,4,4,4,3,4,2,4,4,4,3,4,18,15,8,7,6,14,15,12,13,3,1,-1,-1
95,452,2,21,4,2,3,4,2,1,2,4,1,2,4,3,3,4,4,4,2,2,1,1,4,3,3,3,5,4,3,3,4,3,3,3,4,4,3,3,16,13,9,4,4,16,15,12,12,3,5,1,0
96,394,1,31,5,2,3,4,3,4,4,4,2,3,4,2,4,3,3,3,2,1,1,1,4,2,4,3,4,3,4,3,3,4,3,4,2,4,3,4,14,11,7,5,3,14,12,14,14,3,2,2,0
97,620,2,23,4,2,3,3,3,4,3,3,2,3,3,3,2,2,3,3,2,1,1,2,4,3,3,3,3,3,3,3,5,4,3,2,4,4,3,3,13,14,8,8,4,16,14,12,11,-1,0,2,1
98,308,2,28,5,3,4,2,3,3,3,2,3,3,4,3,2,2,2,3,3,3,3,2,4,3,4,3,4,3,4,3,3,3,3,3,3,4,3,4,16,18,9,9,8,14,13,14,13,-2,0,1,1
99,136,1,23,4,2,3,4,2,4,4,5,2,3,2,3,3,4,3,4,3,2,2,1,4,4,4,3,4,5,3,4,5,4,4,3,4,5,3,4,11,10,10,5,5,19,16,16,12,1,5,3,4
100,301,2,20,3,4,4,2,4,5,3,5,4,5,5,3,3,3,3,4,3,3,3,3,5,3,5,3,4,5,4,5,5,4,5,4,5,5,5,5,15,16,10,6,9,20,16,20,16,-1,4,4,4
101,275,1,21,3,2,3,3,3,4,4,3,4,3,2,2,4,3,4,2,2,1,2,2,4,3,3,2,4,4,3,3,3,2,3,2,3,3,3,3,14,13,6,4,5,14,12,12,10,1,2,2,2
102,126,1,24,4,2,2,4,2,4,5,4,2,4,2,2,4,4,3,3,2,1,1,2,5,4,5,4,4,5,3,4,5,4,4,3,4,5,4,5,10,9,7,4,4,20,16,18,14,1,3,4,4
103,310,2,26,4,2,1,4,2,5,4,5,2,3,2,1,4,4,4,3,1,1,1,2,5,4,5,4,5,4,5,4,4,5,3,5,4,5,3,4,10,8,5,3,4,18,18,16,17,2,2,0,-1
104,201,1,42,3,2,3,4,2,4,4,4,2,4,2,1,4,4,4,3,2,1,1,1,3,4,3,4,5,3,5,3,4,2,4,2,4,2,4,3,10,11,6,3,3,12,15,13,15,-1,3,-3,-2
105,254,1,45,4,3,1,4,2,5,5,4,1,3,5,1,4,3,3,3,1,2,2,1,5,3,4,3,2,5,2,5,3,5,4,3,2,5,3,4,12,9,5,5,5,18,12,17,11,3,0,6,6
106,250,1,23,4,2,2,4,2,5,4,4,2,3,1,1,3,3,3,4,1,1,1,1,4,3,4,3,3,4,3,4,2,4,3,4,2,4,2,5,9,10,6,6,3,14,12,16,12,-1,0,2,4
107,188,2,22,3,2,1,4,1,5,5,5,1,4,1,1,3,4,3,3,1,1,1,1,4,3,3,3,4,5,3,4,3,4,3,4,4,3,5,3,6,7,5,5,3,15,15,13,15,-1,0,0,-2
108,187,2,22,3,2,2,4,2,4,4,4,2,4,2,2,3,3,3,3,2,1,1,1,5,1,4,2,5,5,4,4,5,3,4,3,3,5,3,4,10,10,7,6,3,20,12,16,12,0,1,8,4
109,178,1,22,4,3,3,2,3,4,3,3,4,3,4,2,3,3,3,3,2,2,2,2,4,3,4,4,3,4,3,4,4,5,4,4,3,4,4,3,16,16,7,6,6,16,14,15,15,0,1,2,0
110,237,1,23,4,2,2,4,2,4,4,4,2,4,3,2,4,4,4,3,2,1,1,2,5,4,5,4,5,5,5,5,5,4,5,4,5,5,5,5,11,10,7,3,4,20,18,20,18,1,4,2,2
111,294,2,NA,1,2,3,3,3,1,4,4,2,4,5,3,3,3,3,3,3,1,1,1,2,5,2,4,4,4,4,3,2,4,2,3,3,5,2,5,17,12,9,6,3,13,16,12,13,5,3,-3,-1
112,243,2,24,4,2,3,2,3,5,5,5,3,4,2,2,4,4,4,4,2,1,1,1,1,1,3,3,4,2,4,2,4,2,3,1,4,4,3,3,11,11,8,3,3,11,11,11,11,0,5,0,0
113,181,1,25,4,2,3,4,4,4,3,4,4,4,3,3,3,3,3,3,2,2,2,1,3,4,3,2,3,4,4,3,3,4,3,3,3,4,4,4,15,12,8,6,5,14,14,13,13,3,2,0,0
114,159,1,23,3,3,2,4,2,3,4,5,3,4,3,3,3,3,4,3,2,2,1,2,5,4,4,3,4,5,3,5,5,4,4,3,4,5,3,5,13,10,8,5,5,20,16,18,12,3,3,4,6
115,316,1,NA,3,1,3,3,4,5,4,5,2,3,1,2,3,3,3,3,2,1,1,1,4,3,3,2,3,4,3,4,3,3,3,3,4,3,4,3,11,10,7,6,3,14,13,13,12,1,1,1,1
116,140,2,NA,3,3,3,3,4,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,15,17,7,9,6,16,14,15,15,-2,-2,2,0
